round,playerId,mapX,mapY,value,numberStars,score
1,P04,4,4,7,2,7
1,P04,7,3,1,0,1
1,P04,8,7,1,0,1
2,P04,4,7,3,2,3
2,P04,8,8,3,2,3
2,P04,11,5,51,3,51
3,P04,8,2,2,0,2
3,P04,7,6,2,0,2
3,P04,5,10,2,0,2
4,P04,4,9,2,0,2
4,P04,4,7,3,0,3
4,P04,2,9,0,0,0
5,P04,8,11,24,3,24
5,P04,11,11,1,0,1
5,P04,12,12,2,0,2
6,P04,14,11,6,1,6
6,P04,13,9,3,0,3
6,P04,12,6,20,3,20
7,P04,11,3,2,0,2
7,P04,8,2,2,0,2
7,P04,8,0,1,0,1
8,P04,11,5,51,3,51
8,P04,8,8,3,0,3
8,P04,8,11,24,3,24
9,P04,3,11,0,0,0
9,P04,2,9,0,0,0
9,P04,1,7,72,1,72
10,P04,1,7,72,1,72
10,P04,1,3,1,0,1
10,P04,3,1,2,0,2
11,P04,1,7,72,3,72
11,P04,10,1,2,0,2
11,P04,12,2,2,0,2
12,P04,1,7,72,0,72
12,P04,14,0,1,0,1
12,P04,10,0,3,0,3
13,P04,2,0,24,2,24
13,P04,0,0,1,0,1
13,P04,0,3,3,0,3
14,P04,0,1,4,0,4
14,P04,2,0,24,0,24
14,P04,1,7,72,0,72
15,P04,1,7,72,0,72
15,P04,6,1,1,0,1
15,P04,8,0,1,0,1
16,P04,8,2,2,5,2
16,P04,7,3,1,0,1
16,P04,7,5,1,0,1
17,P04,1,7,72,0,72
17,P04,4,12,5,0,5
17,P04,8,11,24,0,24
18,P04,1,7,72,0,72
18,P04,8,11,24,0,24
18,P04,8,13,14,0,14
19,P04,10,7,20,0,20
19,P04,1,7,72,0,72
19,P04,1,11,2,0,2
20,P04,1,7,72,0,72
20,P04,7,14,3,0,3
20,P04,2,0,24,0,24
