round,playerId,mapX,mapY,value,numberStars,score
1,P01,7,6,2,5,2
1,P01,6,6,1,5,1
1,P01,6,5,2,5,2
2,P01,7,5,2,5,2
2,P01,9,5,3,0,3
2,P01,8,5,2,0,2
3,P01,8,6,1,5,1
3,P01,9,6,3,5,3
3,P01,10,6,14,0,14
4,P01,9,11,0,5,0
4,P01,8,11,9,2,9
4,P01,9,10,0,5,0
5,P01,8,10,53,0,53
5,P01,3,10,3,5,3
5,P01,2,8,24,0,24
6,P01,8,10,53,0,53
6,P01,2,3,1,5,1
6,P01,2,2,0,5,0
7,P01,3,2,3,5,3
7,P01,3,3,72,0,72
7,P01,8,10,53,0,53
8,P01,3,3,72,0,72
8,P01,12,0,0,5,0
8,P01,12,1,1,5,1
9,P01,3,3,72,0,72
9,P01,11,0,1,5,1
9,P01,8,10,53,0,53
10,P01,3,3,72,0,72
10,P01,11,1,2,5,2
10,P01,10,0,3,5,3
11,P01,3,3,72,0,72
11,P01,8,10,53,0,53
11,P01,10,1,3,5,3
12,P01,3,3,72,0,72
12,P01,8,10,53,0,53
12,P01,9,0,2,5,2
13,P01,3,3,72,0,72
13,P01,8,10,53,0,53
13,P01,9,1,53,0,53
14,P01,3,3,72,0,72
14,P01,9,1,53,0,53
14,P01,5,1,2,5,2
15,P01,3,3,72,5,72
15,P01,11,4,24,2,24
15,P01,9,1,53,0,53
16,P01,4,3,2,5,2
16,P01,4,2,2,5,2
16,P01,3,3,72,0,72
17,P01,3,3,72,0,72
17,P01,11,9,3,0,3
17,P01,8,10,53,0,53
18,P01,3,3,72,0,72
18,P01,4,8,8,0,8
18,P01,8,10,53,0,53
19,P01,3,3,72,0,72
19,P01,1,8,3,5,3
19,P01,8,10,53,0,53
20,P01,3,3,72,0,72
20,P01,0,8,72,0,72
20,P01,8,10,53,0,53
