round,playerId,mapX,mapY,value,numberStars,score
1,P01,7,2,1,4,1
1,P01,7,3,2,1,2
1,P01,0,14,6,1,6
2,P01,2,2,3,1,3
2,P01,12,2,1,1,1
2,P01,12,13,0,1,0
3,P01,2,8,2,1,2
3,P01,12,8,3,1,3
3,P01,7,11,3,1,3
4,P01,5,13,2,1,2
4,P01,9,11,0,1,0
4,P01,14,14,7,2,7
5,P01,14,0,4,1,4
5,P01,0,0,1,1,1
5,P01,7,7,2,1,2
6,P01,6,7,1,1,1
6,P01,8,6,2,1,2
6,P01,7,4,6,2,6
7,P01,6,3,12,3,12
7,P01,5,4,1,1,1
7,P01,12,4,2,1,2
8,P01,6,3,12,3,12
8,P01,3,8,3,1,3
8,P01,10,8,3,1,3
9,P01,6,3,12,2,12
9,P01,12,7,3,1,3
9,P01,7,9,2,1,2
10,P01,6,3,12,2,12
10,P01,4,10,2,1,2
10,P01,12,10,0,1,0
11,P01,6,3,12,1,12
11,P01,13,5,3,1,3
11,P01,2,5,5,2,5
12,P01,6,3,12,1,12
12,P01,10,5,7,2,7
12,P01,5,6,3,1,3
13,P01,6,3,12,1,12
13,P01,6,0,8,2,8
13,P01,7,0,2,1,2
14,P01,6,3,12,1,12
14,P01,9,14,0,1,0
14,P01,7,14,6,1,6
15,P01,6,3,12,1,12
15,P01,11,0,2,1,2
15,P01,9,0,2,1,2
16,P01,6,3,12,1,12
16,P01,10,3,3,1,3
16,P01,10,2,0,1,0
17,P01,6,3,12,1,12
17,P01,3,6,0,1,0
17,P01,11,6,72,5,72
18,P01,11,6,72,5,72
18,P01,14,9,1,1,1
18,P01,1,10,3,1,3
19,P01,11,6,72,5,72
19,P01,1,4,3,1,3
19,P01,4,3,2,1,2
20,P01,11,6,72,5,72
20,P01,2,12,3,1,3
20,P01,4,12,3,1,3
