round,playerId,mapX,mapY,value,numberStars,score
1,P05,2,2,2,1,2
1,P05,1,3,2,1,2
1,P05,2,4,13,2,13
2,P05,12,5,2,1,2
2,P05,11,6,3,1,3
2,P05,10,7,1,0,1
3,P05,10,4,0,0,0
3,P05,11,4,0,0,0
3,P05,11,5,1,0,1
4,P05,1,12,1,1,1
4,P05,2,11,1,0,1
4,P05,2,13,3,1,3
5,P05,0,14,2,1,2
5,P05,14,14,72,3,72
5,P05,14,0,12,2,12
6,P05,0,0,2,1,2
6,P05,0,1,2,0,2
6,P05,1,0,22,2,22
7,P05,5,10,0,0,0
7,P05,3,3,1,0,1
7,P05,13,4,3,1,3
8,P05,14,7,6,1,6
8,P05,0,7,8,1,8
8,P05,0,8,0,0,0
9,P05,10,2,4,0,4
9,P05,11,3,20,2,20
9,P05,10,3,0,0,0
10,P05,10,4,0,0,0
10,P05,9,1,2,1,2
10,P05,6,3,1,1,1
11,P05,6,9,6,1,6
11,P05,7,9,2,1,2
11,P05,7,10,3,1,3
12,P05,6,10,53,3,53
12,P05,5,10,0,0,0
12,P05,5,8,13,2,13
13,P05,5,7,3,1,3
13,P05,4,7,3,1,3
13,P05,4,8,3,1,3
14,P05,11,10,1,0,1
14,P05,10,11,2,1,2
14,P05,11,11,0,0,0
15,P05,3,6,0,0,0
15,P05,3,7,13,2,13
15,P05,4,6,2,0,2
16,P05,0,6,5,1,5
16,P05,0,8,0,0,0
16,P05,13,6,2,1,2
17,P05,12,7,20,2,20
17,P05,11,8,2,0,2
17,P05,12,9,6,1,6
18,P05,0,10,1,0,1
18,P05,1,10,1,0,1
18,P05,2,10,1,0,1
19,P05,8,0,1,0,1
19,P05,7,1,8,2,8
19,P05,8,2,2,0,2
20,P05,8,7,3,1,3
20,P05,8,8,0,0,0
20,P05,8,6,2,1,2
